,ID,Date,Country,Disease,Description,Update
0,2452,NA,NA,Influenza A(H1N1),NA,Yes
1,2476,NA,NA,Influenza A(H1N1),NA,Yes
2,2463,NA,NA,Influenza A(H1N1),NA,Yes
3,2453,NA,NA,Influenza A(H1N1),NA,Yes
4,2409,NA,NA,Pandemic (H1N1),NA,Yes
5,2513,NA,Nigeria,Meningococcal disease,NA,Yes
6,2489,NA,NA,Influenza A(H1N1),NA,Yes
7,2473,NA,NA,Influenza A(H1N1),NA,Yes
8,2408,NA,NA,Dengue,NA,No
9,2486,NA,NA,Influenza A(H1N1),NA,Yes
10,2493,NA,NA,Yellow fever,NA,No
11,2416,NA,NA,Avian,NA,Yes
12,2434,NA,NA,Influenza A(H1N1),NA,Yes
13,2534,NA,NA,Yellow fever,NA,No
14,2441,NA,NA,Influenza A(H1N1),NA,Yes
15,2427,NA,NA,Pandemic (H1N1),NA,Yes
16,2496,NA,NA,Swine influenza,NA,Yes
17,2498,NA,NA,Swine influenza,NA,No
18,2524,NA,NA,Avian,NA,Yes
19,2392,NA,NA,Avian,NA,No
20,2426,NA,NA,Pandemic (H1N1),NA,Yes
21,2484,NA,NA,Influenza A(H1N1),NA,Yes
22,2503,NA,NA,Avian,NA,Yes
23,2439,NA,NA,Influenza A(H1N1),NA,Yes
24,2460,NA,NA,Influenza A(H1N1),NA,Yes
25,2466,NA,NA,Avian,NA,Yes
26,2396,NA,NA,Pandemic (H1N1),NA,Yes
27,2471,NA,NA,Influenza A(H1N1),NA,Yes
28,2535,NA,NA,Avian,NA,Yes
29,2417,NA,NA,Pandemic (H1N1),NA,Yes
30,2397,NA,NA,Yellow fever,NA,No
31,2465,NA,NA,Influenza A(H1N1),NA,Yes
32,2394,NA,NA,Avian,NA,Yes
33,2488,NA,NA,Influenza A(H1N1),NA,Yes
34,2458,NA,NA,Influenza A(H1N1),NA,Yes
35,2521,NA,NA,Ebola,NA,No
36,2415,NA,NA,Pandemic (H1N1),NA,Yes
37,2526,NA,NA,Avian,NA,Yes
38,2440,NA,NA,Influenza A(H1N1),NA,Yes
39,2411,NA,NA,Pandemic (H1N1),NA,Yes
40,2456,NA,NA,Influenza A(H1N1),NA,Yes
41,2537,NA,NA,Avian,NA,No
